scheme_name,category,state,target_group,description,eligibility,benefits,application_process,documents_required
Post Matric Scholarship for OBC Students,Education,Central,OBC Students,Scholarship for Other Backward Class students pursuing post-matriculation education with maintenance allowance,"OBC student certified by state government | Family annual income below Rs. 1 lakh | Studying in Class 11 or above | Government or recognized private institution | Not availing another scholarship","Maintenance allowance Rs. 350 to Rs. 1050 per month | Study tour expenses | Thesis charges for PhD | Reimbursement of non-refundable fees","1. Visit scholarships.gov.in | 2. Register and select OBC Post Matric Scholarship | 3. Fill application | 4. Upload documents | 5. Submit before state deadline | 6. State approves","Aadhaar card | OBC caste certificate | Income certificate | Previous marksheet | Admission proof | Bank passbook | Passport photo"
National Means Cum Merit Scholarship,Education,Central,Meritorious Poor Students,Scholarship for meritorious students from economically weaker sections in Class 9 to 12 worth Rs. 12000 per year,"Student in Class 9 in a government school | Cleared NMMS exam | Minimum 55% in Class 7 (50% for SC/ST) | Annual parental income below Rs. 1.5 lakh | Continue in government school","Rs. 12000 per year (Rs. 1000 per month) | From Class 9 to Class 12 | Total 4 years | Paid to student bank account | Renewed each year on passing","1. Appear in NMMS exam in Class 8 | 2. Merit list published by state | 3. Apply at scholarships.gov.in | 4. School verifies | 5. Amount credited to Aadhaar linked bank account","Aadhaar card | NMMS merit certificate | Income certificate | Bank passbook with Aadhaar seeding | School enrollment certificate | Class 7 marksheet"
PM Vidya Lakshmi Yojana,Education,Central,Students,Unified digital platform for students to access education loans from multiple banks easily launched January 2025,"Indian student | Admitted to recognized institution | Studying UG PG professional course | No income limit for loan | Applicable for India and abroad","Education loans Rs. 50000 to Rs. 1.5 crore | Single application to multiple banks | Subsidized interest for EWS | No collateral for loans up to Rs. 7.5 lakh | Repayment after course","1. Visit vidyalakshmi.co.in | 2. Register with Aadhaar | 3. Fill CELAF form once | 4. Apply to multiple banks simultaneously | 5. Bank processes within 15 days","Aadhaar card | PAN card | Admission letter | Fee structure | Academic certificates | Income certificate of parents | Bank account details"
INSPIRE Scholarship for Higher Education,Education,Central,Science Students,Scholarship attracting talented students into natural and basic sciences research careers worth Rs. 80000 per year,"Top 1% in Class 12 from any board | Pursuing BSc MSc in natural sciences | Age below 22 years | Not availing other scholarship | Admitted to recognized college","Rs. 80000 per year (Rs. 5000 per month plus Rs. 20000 annual mentorship) | For 5 years of BSc and MSc | Mentorship by senior scientists | Summer research attachment | Total Rs. 4 lakh","1. Visit online.dst.gov.in | 2. Register and fill application | 3. Upload Class 12 certificate showing top 1% rank | 4. Upload admission proof | 5. Institution forwards | 6. DST approves","Aadhaar card | Class 12 marksheet showing rank | Admission proof | Institution letter | Bank passbook | Passport photo"
PM Scholarship for Central Armed Police Forces,Education,Central,Children of Armed Forces,Scholarship for wards of CAPF ex-servicemen for professional courses worth Rs. 3000-3500 per month,"Ward of CAPF or ex-servicemen or coast guard | First year of recognized professional degree or diploma | Minimum 60% in Class 12 | Not availing other scholarship | Annual family income below Rs. 6 lakh","Rs. 3000 per month for boys | Rs. 3500 per month for girls | For duration of professional course up to 5 years | Paid to student bank account","1. Visit ksb.gov.in | 2. Register with service number of parent | 3. Fill online application | 4. Upload documents | 5. Unit/record office verifies | 6. Scholarship sanctioned","Aadhaar card | Service certificate of parent | Class 12 marksheet | Admission proof | Bank passbook | PPO for ex-servicemen | Passport photo"
PM YASASVI Scholarship,Education,Central,OBC EBC DNT Students,Scholarship for OBC EBC and DNT students in Class 9 and 11 based on national entrance test worth Rs. 75000-125000 per year,"OBC EBC or DNT student | Family income below Rs. 2.5 lakh | Studying in Class 9 or Class 11 | Cleared YASASVI entrance test by NTA | Not availing other scholarship","Rs. 75000 per year for Class 9 to 10 | Rs. 125000 per year for Class 11 to 12 | Paid to student bank account | Renewed on passing to next class","1. Appear in YASASVI test held by NTA | 2. Merit list published | 3. Apply at scholarships.gov.in | 4. Submit documents | 5. Scholarship sanctioned","Aadhaar card | Community certificate | Income certificate | Previous marksheet | Bank passbook"
Saksham Scholarship for Differently Abled,Education,Central,Differently Abled Students,Scholarship for differently abled students in AICTE approved technical institutions worth Rs. 30000 per year for degree and Rs. 10000 for diploma,"Differently abled student | Minimum 40% disability | Admitted to AICTE approved technical institution | Family income below Rs. 8 lakh | Passed previous year exam","Rs. 30000 per year for degree students | Rs. 10000 per year for diploma students | For 4 years | Paid directly to bank account | Renewable every year","1. Apply at aicte-india.org | 2. Register with Aadhaar | 3. Upload disability certificate | 4. Institution verifies | 5. Scholarship sanctioned","Aadhaar card | Disability certificate from government hospital | Admission proof | Income certificate | Bank passbook | Marksheets"
One Nation One Subscription,Education,Central,Students and Researchers,Nationwide free access to 13000 plus international academic journals and research publications launched January 2025,"Students in recognized institutions | Researchers in government institutions | Faculty members | Access through institutional login","Free access to 13000 plus international journals | Covers scientific social science humanities journals | Access through institution login | Remote access available | Saves crores on journal subscriptions","1. Institution registers with portal | 2. Students get login from institution | 3. Access journals through institutional login | 4. Remote access available","Institutional ID and email | Aadhaar or student ID for individual access"
Pradhan Mantri Awas Yojana Gramin,Housing,Central,Rural Poor,Rural housing scheme providing pucca houses with toilet and basic amenities to homeless families,"Homeless or living in kutcha house | In SECC 2011 list | SC/ST minorities disabled given priority | Not own pucca house | Annual income below Rs. 3 lakh","Rs. 1.2 lakh in plain areas Rs. 1.3 lakh in hilly areas | Rs. 12000 for toilet | Rs. 18000 for MGNREGS labour | Direct transfer in installments","1. Beneficiary selected from SECC 2011 data by Gram Sabha | 2. Register at Gram Panchayat | 3. Submit documents | 4. Verification by block office | 5. Amount released in 3-4 installments","Aadhaar card | Bank passbook | BPL/SECC card | Caste certificate | Land ownership proof | Mobile number linked to Aadhaar"
Pradhan Mantri Awas Yojana Urban CLSS EWS LIG,Housing,Central,Urban Poor EWS LIG,Credit linked subsidy for economically weaker section and low income group home buyers with 6.5% interest subsidy,"EWS income up to Rs. 3 lakh | LIG income Rs. 3-6 lakh | Not own pucca house | First time home buyer | Applying for home loan","EWS/LIG interest subsidy 6.5% on loan up to Rs. 6 lakh | Subsidy credited upfront reducing EMI | Saves up to Rs. 2.67 lakh | Reduced monthly EMI","1. Apply at bank or housing finance company | 2. Bank verifies eligibility | 3. Loan sanctioned | 4. Bank sends claim to NHB/HUDCO | 5. Subsidy credited within 3-4 months","Aadhaar card | Income proof | Bank statements 6 months | Property documents | Self declaration of no pucca house | Caste certificate for EWS"
Pradhan Mantri Awas Yojana Urban CLSS MIG,Housing,Central,Middle Income Group,Credit linked subsidy for middle income group home buyers with 3-4% interest subsidy on home loans,"MIG-1 household income Rs. 6-12 lakh | MIG-2 household income Rs. 12-18 lakh | Not own pucca house | First time home buyer","MIG-1 interest subsidy 4% on loan up to Rs. 9 lakh | MIG-2 interest subsidy 3% on loan up to Rs. 12 lakh | Saves Rs. 2.35 lakh to Rs. 2.67 lakh | Reduced EMI","1. Apply at bank or housing finance company | 2. Bank checks PMAY eligibility | 3. Loan sanctioned | 4. Subsidy of Rs. 2-2.67 lakh credited to loan | 5. Lower EMI automatically","Aadhaar card | PAN card | Income proof | Bank statements | Property documents | Self declaration of no pucca house"
PM SVANidhi Street Vendor Scheme,Entrepreneurship,Central,Street Vendors,Working capital loans for street vendors starting Rs. 10000 increasing to Rs. 50000 with digital transaction incentives,"Street vendor with vending certificate | Conducting business before March 24 2020 | Urban area street vendor","Rs. 10000 first loan | Rs. 20000 second loan on timely repayment | Rs. 50000 third loan | 7% interest subsidy | UPI credit card Rs. 30000 limit | Cashback on digital transactions","1. Visit pmsvanidhi.mohua.gov.in | 2. Register | 3. Town vending committee recommends | 4. Bank sanctions | 5. Loan disbursed | 6. Use digital transactions for cashback","Aadhaar card | Vending certificate or ULB letter | Bank passbook | Mobile number"
PM Mudra Yojana,Entrepreneurship,Central,Small Business Owners,Collateral-free loans for small and micro businesses ranging from Rs. 50000 to Rs. 10 lakh under Shishu Kishor and Tarun categories,"Indian citizen | Age 18 to 65 | Own small business or planning to start | Non-farm income generating activity | No default with any bank | Manufacturing trading or services","Shishu loan up to Rs. 50000 | Kishor loan Rs. 50001 to Rs. 5 lakh | Tarun loan Rs. 5 lakh to Rs. 10 lakh | No collateral required | Mudra card for working capital","1. Prepare business plan | 2. Visit nearest bank NBFC or MFI | 3. Fill Mudra loan application | 4. Submit documents | 5. Bank sanctions | 6. Mudra card issued within 7-10 days","Aadhaar card | PAN card | Passport photo | Business address proof | Bank statements 6 months | Quotation for machinery | Caste certificate if applicable"
Startup India Seed Fund Scheme,Entrepreneurship,Central,Startups,Financial assistance for DPIIT recognized startups for proof of concept and market entry through empaneled incubators,"DPIIT recognized startup | Incorporated not more than 2 years ago | Not received more than Rs. 10 lakh funding | Working on innovative product or service","Grants up to Rs. 20 lakh for proof of concept | Investment up to Rs. 50 lakh for market entry | Through empaneled incubators | Equity or convertible debentures","1. Visit startupindia.gov.in | 2. Register and get DPIIT recognition | 3. Apply to empaneled incubators | 4. Present business plan | 5. Incubator evaluates | 6. Funds disbursed","DPIIT recognition certificate | Incorporation certificate | Business plan | Pitch deck | Bank account | PAN card | Aadhaar of founders"
Stand Up India Scheme,Entrepreneurship,Central,SC/ST and Women Entrepreneurs,Loans Rs. 10 lakh to Rs. 1 crore for SC ST and women borrowers to set up new greenfield enterprises without collateral,"SC or ST borrower or woman borrower | Age above 18 | New greenfield enterprise | No default with any bank","Loans Rs. 10 lakh to Rs. 1 crore | Covers 75% of project cost | Repayment up to 7 years | Moratorium up to 18 months | Rupay debit card issued","1. Visit standupmitra.in | 2. Register and fill application | 3. Select nearest bank branch | 4. Submit documents | 5. Loan sanctioned after verification","Aadhaar card | PAN card | Caste certificate for SC/ST | Business plan | Project report | Bank statements | Address proof | Passport photos"
Ayushman Bharat PM-JAY,Health,Central,Poor and Vulnerable Families,Health insurance providing Rs. 5 lakh per family per year covering 1929 procedures at empaneled hospitals cashlessly,"Families listed in SECC 2011 | Deprived rural families | Occupational category urban workers | No restriction on family size or age | Pre-existing conditions covered from day 1","Rs. 5 lakh health cover per family per year | Covers 1929 treatment packages | Cashless treatment | Pre and post hospitalization expenses | All pre-existing diseases covered from day 1","1. Check eligibility at pmjay.gov.in or call 14555 | 2. Visit nearest empaneled hospital | 3. Show Aadhaar and ration card | 4. Hospital verifies online | 5. Treatment is cashless","Aadhaar card | Ration card | Mobile number | SECC identification proof | Family ID if issued by state"
Ayushman Bharat Vaya Vandana Yojana,Health,Central,Senior Citizens,Healthcare security for all senior citizens above 70 years regardless of income launched October 2024 with Rs. 5 lakh coverage,"Indian citizen above 70 years | No income criteria | Regardless of SECC list | Covers both new and existing PM-JAY beneficiaries | All elderly covered","Rs. 5 lakh additional health cover per year | Covers all pre-existing diseases | Cashless treatment at empaneled hospitals | 70 plus Vaya Vandana card issued","1. Visit pmjay.gov.in or call 14555 | 2. Register as senior citizen | 3. Aadhaar verified | 4. Vaya Vandana card issued | 5. Use at any empaneled hospital","Aadhaar card | Age proof | Bank account | Mobile number | Recent passport photo"
Janani Suraksha Yojana,Health,Central,Pregnant Women,Safe motherhood scheme providing cash incentive Rs. 1400 rural and Rs. 1000 urban for institutional delivery to poor pregnant women,"Pregnant woman from BPL family | SC and ST women | Age above 19 years | Should deliver in government or accredited private hospital","Rs. 1400 in rural areas Rs. 1000 in urban areas for institutional delivery | Additional Rs. 300 to ASHA | Free ANC checkups | Free delivery | Free transport","1. Register at nearest government health centre or Anganwadi | 2. Get MCH card | 3. Attend 4 ANC checkups | 4. Deliver at government hospital | 5. Cash transferred after delivery","Aadhaar card | BPL card | MCH card | Bank passbook | Mobile number | ASHA worker coordinates"
PM Jan Aushadhi Pariyojana,Health,Central,All Citizens,Generic medicines scheme providing quality medicines at 50-90% lower price through Jan Aushadhi Kendras across India,"Any Indian citizen | Purchase at nearest Jan Aushadhi Kendra | No registration needed | All age groups | No income criteria","Quality generic medicines at 50-90% less price | 2000 plus medicines available | Quality tested at NABL labs | Same efficacy as branded medicines | Available at 10000 plus kendras","1. Visit nearest Pradhan Mantri Bharatiya Jan Aushadhi Kendra | 2. Show doctor prescription | 3. Get generic medicines at low cost | 4. No registration required","Doctor prescription | Aadhaar not mandatory | Just visit and buy"
PM Suraksha Bima Yojana,Insurance,Central,All Citizens,Accident insurance scheme providing Rs. 2 lakh coverage for accidental death or disability at just Rs. 20 per year,"Age 18 to 70 years | Should have savings bank account | Aadhaar linked to bank account","Rs. 2 lakh for accidental death or permanent total disability | Rs. 1 lakh for permanent partial disability | Premium only Rs. 20 per year | Auto-debited annually","1. Visit your bank or net banking | 2. Fill PMSBY enrollment form | 3. Give auto-debit consent | 4. Premium of Rs. 20 auto-debited annually | 5. Policy document issued","Aadhaar card | Bank account with Aadhaar seeding | Nominee details | Mobile number"
PM Jeevan Jyoti Bima Yojana,Insurance,Central,All Citizens,Life insurance scheme providing Rs. 2 lakh coverage on death due to any reason at just Rs. 436 per year,"Age 18 to 50 years | Should have savings bank account | Aadhaar linked to bank account | Auto-debit consent required","Rs. 2 lakh life cover | Premium only Rs. 436 per year | Auto-debited | Nominee gets Rs. 2 lakh on death for any reason including natural death","1. Visit your bank | 2. Fill PMJJBY enrollment form | 3. Give auto-debit consent | 4. Premium auto-debited on 1 June every year | 5. Policy certificate issued","Aadhaar card | Bank account with Aadhaar seeding | Nominee details | Mobile number"
Atal Pension Yojana,Pension,Central,Unorganized Sector Workers,Guaranteed pension scheme for unorganized sector workers providing Rs. 1000 to Rs. 5000 monthly pension after age 60,"Age 18 to 40 years | Indian citizen | Should have bank account | Not income tax payer | Not covered under EPF/EPS or other statutory scheme","Fixed monthly pension Rs. 1000 to Rs. 5000 after age 60 | Government co-contributes 50% or Rs. 1000 per year whichever lower for 5 years | Spouse continues pension after death","1. Visit nearest bank or post office | 2. Fill APY registration form | 3. Provide bank account details | 4. Select pension amount | 5. Auto-debit mandate setup | 6. PRAN issued","Aadhaar card | Bank account passbook | Mobile number | Age proof"
NPS Vatsalya Yojana,Pension,Central,Children,National Pension System for minors allowing parents to save for child's future pension from childhood introduced September 2024,"Minor below 18 years | Parent or guardian as subscriber | Any Indian citizen | Converted to regular NPS at 18","Long-term pension corpus from childhood | Minimum contribution Rs. 1000 per year | Tax benefits for parent | Converted to full NPS at 18 | Early corpus building advantage","1. Visit nearest bank or NPS point of presence | 2. Fill NPS Vatsalya form | 3. Provide minor's Aadhaar and birth certificate | 4. Account opened | 5. PRAN issued","Aadhaar of minor | Birth certificate | Aadhaar of parent/guardian | Bank account | PAN of parent"
National Social Assistance Programme,Pension,Central,Elderly Widows Disabled,Monthly pension for elderly widows and disabled persons from BPL households covering Indira Gandhi National Pension schemes,"Elderly above 60 years from BPL household | Widows above 40 years | Disabled with 80% disability | Below poverty line certificate","IGNOAPS Rs. 200 to Rs. 500 per month | Indira Gandhi Widow Pension Rs. 300 per month | Indira Gandhi Disability Pension Rs. 300 per month | States add top-up","1. Apply at Gram Panchayat or Ward office | 2. Fill application | 3. Submit BPL and age or disability certificate | 4. Block office verifies | 5. Monthly pension to bank","Aadhaar card | BPL card | Age proof | Widow certificate | Disability certificate | Bank passbook"
PM Jan Dhan Yojana,Banking,Central,All Citizens,Financial inclusion scheme for zero balance bank account with free RuPay debit card and Rs. 2 lakh accident insurance,"Any Indian citizen above 10 years | No minimum balance required | Can be opened at any bank or post office","Zero balance savings account | Free RuPay debit card | Overdraft up to Rs. 10000 after 6 months | Rs. 2 lakh accident insurance | Rs. 30000 life insurance","1. Visit nearest bank or post office | 2. Fill Jan Dhan account opening form | 3. Submit KYC documents | 4. Account opened same day | 5. RuPay card issued within 10 days","Aadhaar card (sufficient for eKYC) | OR Voter ID/Passport/Driving License/NREGA card | Passport size photo"
PM Kisan Vikas Patra,Banking,Central,Investors,Small savings scheme where investment doubles in 115 months available at post offices and authorized banks,"Any Indian citizen | Individual or joint account | No income criteria | Minor account with guardian | NRI not eligible","Investment doubles in 115 months (9 years 7 months) | Interest rate 7.5% per annum | No TDS | Premature withdrawal after lock-in | Can be collateral for loans","1. Visit nearest post office or bank | 2. Fill KVP application | 3. Invest minimum Rs. 1000 | 4. KVP certificate issued | 5. Maturity amount doubled","Aadhaar card | PAN card | Passport photo | Investment amount"
PM Garib Kalyan Anna Yojana,Food Security,Central,Poor Families,Free food grain scheme providing 5 kg grain per person per month completely free to 80 crore NFSA beneficiaries,"NFSA beneficiaries | Priority Household card holders | Antyodaya Anna Yojana card holders | No income criteria for existing NFSA beneficiaries","5 kg wheat or rice per person per month completely free | For entire family | Available at all ration shops | No cash payment needed","1. Already covered if in NFSA list | 2. Visit nearest ration shop | 3. Show ration card and Aadhaar | 4. Collect free grain","Ration card | Aadhaar card for biometric verification"
PM Ujjwala Yojana 2.0,Energy,Central,BPL Women,Free LPG connection including first cylinder for women from BPL households and migrants with deposit-free connections,"Woman from low income family | Age above 18 | Not have existing LPG connection | BPL PMAY-G beneficiary or migrant | Self-declaration of address accepted for migrants","Free LPG connection | First cylinder free | Free stove EMI option | Rs. 1600 financial assistance | Clean fuel replaces firewood","1. Visit nearest LPG distributor (HP/Bharat/Indane) | 2. Fill KYC form | 3. Submit BPL certificate or self-declaration | 4. Connection sanctioned | 5. Cylinder delivered","Aadhaar card | BPL card or self-declaration | Bank passbook | Passport photo"
PM Surya Ghar Free Electricity Scheme,Energy,Central,Households,Rooftop solar scheme providing up to 300 units free electricity per month launched February 2024 with subsidy up to Rs. 78000,"Residential household | Own house with suitable roof | Grid connected electricity connection | Income below Rs. 1.5 lakh preferred for maximum subsidy","Up to 300 units free electricity per month | Subsidy up to Rs. 78000 for 3 kW system | Additional income by selling surplus power | Saves Rs. 15000-20000 annually","1. Visit pmsuryaghar.gov.in | 2. Register with electricity consumer number | 3. Apply for rooftop solar | 4. DISCOM approves and installs | 5. Net metering set up | 6. Subsidy credited","Aadhaar card | Electricity bill | Bank passbook | Property ownership proof | Passport photo"
PM Kaushal Vikas Yojana,Skill Development,Central,Youth,Free skill training with Rs. 8000 reward on certification for youth in sectors like IT electronics healthcare retail and logistics,"Indian citizen | Age 15 to 45 years | School or college dropout or unemployed | Aadhaar linked mobile required","Free skill training | Rs. 8000 reward on certification | Industry recognized certification | Job placement assistance | Post placement support","1. Visit pmkvyofficial.org or nearest training centre | 2. Register | 3. Counselling and course selection | 4. Free training | 5. Assessment | 6. Certificate issued | 7. Placement support","Aadhaar card | Bank passbook | Educational certificates | Passport photo | Mobile number linked to Aadhaar"
DDU Grameen Kaushalya Yojana,Skill Development,Central,Rural Youth,Residential skill training with 75% guaranteed placement for rural youth from BPL households with post-placement support,"Rural youth | Age 15 to 35 (up to 45 for special groups) | BPL or MGNREGA household | Willing for placement | SC/ST women differently-abled given priority","Free residential training | Stipend during training | Certification | 75% placement guarantee | Post placement support 1 year | Rs. 25000 migration support","1. Contact nearest DDU-GKY project agency | 2. Register and attend counselling | 3. Residential training 3-12 months | 4. Assessment and certification | 5. Placement in formal sector","Aadhaar card | BPL/MGNREGA card | Age proof | Educational certificates | Bank passbook | Passport photo | Caste certificate"
Naan Mudhalvan Scheme,Skill Development,Tamil Nadu,Students and Youth Tamil Nadu,Comprehensive skill development for Tamil Nadu college students through industry training internships and placement with top companies launched by Tamil Nadu government,"Tamil Nadu resident | Age 18 to 30 years | Students in government and government-aided colleges | Polytechnic students","Free skill training | Industry internships | Soft skills and English training | Placement support | Government pays for training | Top company training","1. Register at naanmudhalvan.tn.gov.in | 2. Select course based on interest | 3. Attend training at college | 4. Complete internship | 5. Placement assistance | 6. Certificate issued","Aadhaar card | College admission proof | Educational certificates | Bank passbook | Passport photo | Mobile number"
Vetri Nichayam Scheme,Skill Development,Tamil Nadu,Youth Tamil Nadu,Free industry-ready skill training for Tamil Nadu youth aged 18 to 35 launched September 2025 in IT healthcare manufacturing and construction sectors,"Tamil Nadu resident | Age 18 to 35 years | Students or job seekers | No strict educational qualification | Register with Tamil Nadu Skill Development Corporation","Free skill training in various sectors | Industry-recognized certification | Job placement support | Stipend during training","1. Visit tnsdcskills.com | 2. Register online | 3. Select course | 4. Attend counselling | 5. Training begins | 6. Certification after assessment | 7. Placement assistance","Aadhaar card | Educational certificates | Bank passbook | Passport photo | Mobile number | Residence proof"
Beti Bachao Beti Padhao,Women and Child,Central,Girl Child,National programme to address declining child sex ratio and promote welfare education and empowerment of the girl child,"Girl child at birth | No income criteria | All families eligible | Focus on districts with low child sex ratio","Free birth registration | Educational support | Awareness programs | Conditional cash transfer in some states | Free health checkups","1. Register birth at hospital or gram panchayat | 2. Apply at Anganwadi or block office | 3. Enroll daughter in school | 4. Avail conditional cash transfer at milestones","Birth certificate | Aadhaar of parents | Bank account of mother | Vaccination records"
Sukanya Samriddhi Yojana,Women and Child,Central,Girl Child,High interest 8.2% saving scheme for girl child with tax benefits under Section 80C and maturity after 21 years,"Girl child below age 10 | Indian resident | Only 2 accounts per family one per girl child | Parent or guardian can open account","Interest rate 8.2% per annum | Tax exemption under Section 80C up to Rs. 1.5 lakh | Maturity after 21 years | Partial withdrawal for education after age 18 | Tax free maturity","1. Visit nearest post office or authorized bank | 2. Fill SSY account opening form | 3. Deposit minimum Rs. 250 to open | 4. Deposit Rs. 250 to Rs. 1.5 lakh per year | 5. Passbook issued","Birth certificate of girl child | Aadhaar of girl child | Aadhaar and PAN of parent | Passport photo | Address proof"
